id,num,name,pos,archetype,zone,behavior,passe,marcacao,velocidade,drible,finalizacao,fisico,tatico,mentalidade,confianca,fairPlay,attrs,fatigue,injuryRisk,evolutionXp,priceBRO,marketValueBroCents,country,age,strongFoot,creatorType,rarity,bio,listedOnMarket,mintOverall,evolutionRate,outForMatches,portraitUrl,collectionId,cardSupply,managerCreated,spiritNotes
GEN-001,1,Adrien Ayo,LM,novo_talento,mid_left,criativo,35,35,35,25,25,31,28,25,30,35,"{""passe"": 35, ""marcacao"": 35, ""velocidade"": 35, ""drible"": 25, ""finalizacao"": 25, ""fisico"": 31, ""tatico"": 28, ""mentalidade"": 25, ""confianca"": 30, ""fairPlay"": 35}",0,61,57,10,1000,France,19,,genesis,Basic,Prefers positioning over chasing — spatial intelligence influences defense.,False,30,62,0,,genesis,1,False,Creative Soul
GEN-002,2,Adrien Ayo,LM,novo_talento,mid_left,criativo,55,35,55,25,40,40,42,45,45,45,"{""passe"": 55, ""marcacao"": 35, ""velocidade"": 55, ""drible"": 25, ""finalizacao"": 40, ""fisico"": 40, ""tatico"": 42, ""mentalidade"": 45, ""confianca"": 45, ""fairPlay"": 45}",0,54,57,40,4000,France,21,,genesis,Rare,Prefers positioning over chasing — spatial intelligence influences defense.,False,43,80,0,,genesis,1,False,Creative Soul
GEN-003,3,Adrien Ayo,LM,novo_talento,mid_left,criativo,55,40,75,35,55,40,49,55,50,45,"{""passe"": 55, ""marcacao"": 40, ""velocidade"": 75, ""drible"": 35, ""finalizacao"": 55, ""fisico"": 40, ""tatico"": 49, ""mentalidade"": 55, ""confianca"": 50, ""fairPlay"": 45}",0,47,91,250,25000,France,23,,genesis,Ultra Rare,Prefers positioning over chasing — spatial intelligence influences defense.,False,50,91,0,,genesis,1,False,Creative Soul
GEN-004,4,Ahmad Al-Kuwari,LW,profissional,attack_left,ofensivo,35,35,35,25,30,37,32,35,30,25,"{""passe"": 35, ""marcacao"": 35, ""velocidade"": 35, ""drible"": 25, ""finalizacao"": 30, ""fisico"": 37, ""tatico"": 32, ""mentalidade"": 35, ""confianca"": 30, ""fairPlay"": 25}",0,70,57,10,1000,Qatar,25,,genesis,Basic,Accelerates game in emotional situations — pride overrules tactics under pressure.,False,32,67,0,,genesis,1,False,Provocative
GEN-005,5,Ahmad Al-Kuwari,LW,profissional,attack_left,ofensivo,35,38,40,40,38,42,38,40,37,35,"{""passe"": 35, ""marcacao"": 38, ""velocidade"": 40, ""drible"": 40, ""finalizacao"": 38, ""fisico"": 42, ""tatico"": 38, ""mentalidade"": 40, ""confianca"": 37, ""fairPlay"": 35}",0,70,57,70,7000,Qatar,27,,genesis,Silver,Accelerates game in emotional situations — pride overrules tactics under pressure.,False,38,61,0,,genesis,1,False,Provocative
GEN-006,6,Augusto Bobby,CAM,novo_talento,mid_attacking,ofensivo,25,20,35,15,35,44,22,25,30,35,"{""passe"": 25, ""marcacao"": 20, ""velocidade"": 35, ""drible"": 15, ""finalizacao"": 35, ""fisico"": 44, ""tatico"": 22, ""mentalidade"": 25, ""confianca"": 30, ""fairPlay"": 35}",0,64,57,10,1000,Jamaica,21,,genesis,Basic,Plays through pain — injury resistance overrides substitution logic.,False,29,60,0,,genesis,1,False,Provocative
GEN-007,7,Bruno Guina,CM,novo_talento,mid_center,ofensivo,35,30,35,25,20,28,24,15,20,25,"{""passe"": 35, ""marcacao"": 30, ""velocidade"": 35, ""drible"": 25, ""finalizacao"": 20, ""fisico"": 28, ""tatico"": 24, ""mentalidade"": 15, ""confianca"": 20, ""fairPlay"": 25}",0,58,57,10,1000,Brazil,17,,genesis,Basic,"Dribbles like poetry, but bleeds when the game gets tough.",False,26,57,0,,genesis,1,False,Provocative
GEN-008,8,Adriano Carioca,CF,novo_talento,attack_center,ofensivo,35,20,35,35,45,49,35,35,40,45,"{""passe"": 35, ""marcacao"": 20, ""velocidade"": 35, ""drible"": 35, ""finalizacao"": 45, ""fisico"": 49, ""tatico"": 35, ""mentalidade"": 35, ""confianca"": 40, ""fairPlay"": 45}",0,61,77,120,12000,Brazil,19,,genesis,Gold,Prefers to shoot than pass when approaching the box — natural bias for protagonism.,False,37,77,0,,genesis,1,False,Provocative
GEN-009,9,Felipe Ybere,RW,novo_talento,attack_right,equilibrado,35,30,35,25,25,34,28,25,25,25,"{""passe"": 35, ""marcacao"": 30, ""velocidade"": 35, ""drible"": 25, ""finalizacao"": 25, ""fisico"": 34, ""tatico"": 28, ""mentalidade"": 25, ""confianca"": 25, ""fairPlay"": 25}",0,58,57,10,1000,Peru,17,,genesis,Basic,Unshakable belief — trusts the game can shift with ancestral guidance.,False,29,62,0,,genesis,1,False,Impulsive Charger
GEN-010,10,Flavio Medina,CDM,profissional,mid_defensive,equilibrado,35,35,35,25,35,47,32,35,30,25,"{""passe"": 35, ""marcacao"": 35, ""velocidade"": 35, ""drible"": 25, ""finalizacao"": 35, ""fisico"": 47, ""tatico"": 32, ""mentalidade"": 35, ""confianca"": 30, ""fairPlay"": 25}",0,67,57,10,1000,Espanha,23,,genesis,Basic,"Unique style forged by skill, vision, and passion.",False,33,61,0,,genesis,1,False,Legacy
GEN-011,11,Eurico Freddy,CDM,profissional,mid_defensive,equilibrado,35,35,35,25,35,47,32,35,30,25,"{""passe"": 35, ""marcacao"": 35, ""velocidade"": 35, ""drible"": 25, ""finalizacao"": 35, ""fisico"": 47, ""tatico"": 32, ""mentalidade"": 35, ""confianca"": 30, ""fairPlay"": 25}",0,70,57,10,1000,Gana,25,,genesis,Basic,Loses tempo when multitasked — better with clear singular focus.,False,33,57,0,,genesis,1,False,Impulsive Charger
GEN-012,12,Gui Nunez,CF,profissional,attack_center,ofensivo,45,20,35,35,45,51,42,45,40,35,"{""passe"": 45, ""marcacao"": 20, ""velocidade"": 35, ""drible"": 35, ""finalizacao"": 45, ""fisico"": 51, ""tatico"": 42, ""mentalidade"": 45, ""confianca"": 40, ""fairPlay"": 35}",0,77,62,120,12000,Brazil,30,,genesis,Gold,Prefers to shoot than pass when approaching the box — natural bias for protagonism.,False,39,62,0,,genesis,1,False,Provocative
GEN-013,13,Bernard Gustave,CF,profissional,attack_center,equilibrado,55,18,50,45,55,47,46,40,40,40,"{""passe"": 55, ""marcacao"": 18, ""velocidade"": 50, ""drible"": 45, ""finalizacao"": 55, ""fisico"": 47, ""tatico"": 46, ""mentalidade"": 40, ""confianca"": 40, ""fairPlay"": 40}",0,65,56,150,15000,France,27,,genesis,Retro,Creative playmaker with elegance and tactical sharpness.,False,44,56,0,,genesis,1,False,Legacy
GEN-014,14,Helinho,RWB,profissional,wing_right_defense,equilibrado,45,30,45,35,30,43,42,45,40,35,"{""passe"": 45, ""marcacao"": 30, ""velocidade"": 45, ""drible"": 35, ""finalizacao"": 30, ""fisico"": 43, ""tatico"": 42, ""mentalidade"": 45, ""confianca"": 40, ""fairPlay"": 35}",0,65,62,120,12000,Brazil,25,,genesis,Gold,Presses deeper when teammates slow down — compensates for others instinctively.,False,39,62,0,,genesis,1,False,Legacy
GEN-015,15,Helinho,RWB,profissional,wing_right_defense,equilibrado,55,42,45,50,40,48,53,55,45,35,"{""passe"": 55, ""marcacao"": 42, ""velocidade"": 45, ""drible"": 50, ""finalizacao"": 40, ""fisico"": 48, ""tatico"": 53, ""mentalidade"": 55, ""confianca"": 45, ""fairPlay"": 35}",0,72,67,150,15000,Brazil,30,,genesis,Retro,Presses deeper when teammates slow down — compensates for others instinctively.,False,47,67,0,,genesis,1,False,Provocador
GEN-016,16,Henrine Tito,RM,profissional,mid_right,equilibrado,35,35,35,35,30,45,27,15,15,15,"{""passe"": 35, ""marcacao"": 35, ""velocidade"": 35, ""drible"": 35, ""finalizacao"": 30, ""fisico"": 45, ""tatico"": 27, ""mentalidade"": 15, ""confianca"": 15, ""fairPlay"": 15}",0,70,57,10,1000,Italy,25,,genesis,Basic,"Unique style forged by skill, vision, and passion.",False,29,47,0,,genesis,1,False,Adaptive Leader
GEN-017,17,James Oliver,ST,novo_talento,attack_striker,equilibrado,35,35,25,25,45,55,24,15,10,5,"{""passe"": 35, ""marcacao"": 35, ""velocidade"": 25, ""drible"": 25, ""finalizacao"": 45, ""fisico"": 55, ""tatico"": 24, ""mentalidade"": 15, ""confianca"": 10, ""fairPlay"": 5}",0,77,57,120,12000,United States,20,,genesis,Gold,Boosts intensity when crowd reacts — external rhythm drives internal tempo.,False,27,57,0,,genesis,1,False,Cold Strategist
GEN-018,18,Joel Andinho,CB,novo_talento,defense_central,ofensivo,35,35,35,35,20,39,27,15,25,35,"{""passe"": 35, ""marcacao"": 35, ""velocidade"": 35, ""drible"": 35, ""finalizacao"": 20, ""fisico"": 39, ""tatico"": 27, ""mentalidade"": 15, ""confianca"": 25, ""fairPlay"": 35}",0,65,57,10,1000,Colombia,15,,genesis,Basic,Maintains movement pattern even under pressure — values structure over chaos.,False,30,57,0,,genesis,1,False,Provocative
GEN-019,19,Joel Andinho,CB,novo_talento,defense_central,ofensivo,45,40,45,45,30,44,37,25,30,35,"{""passe"": 45, ""marcacao"": 40, ""velocidade"": 45, ""drible"": 45, ""finalizacao"": 30, ""fisico"": 44, ""tatico"": 37, ""mentalidade"": 25, ""confianca"": 30, ""fairPlay"": 35}",0,66,62,200,20000,Colombia,19,,genesis,Next,Maintains movement pattern even under pressure — values structure over chaos.,False,38,62,0,,genesis,1,False,Provocative
GEN-020,20,John Malby,RB,profissional,defense_right,equilibrado,35,30,35,35,30,48,31,25,25,25,"{""passe"": 35, ""marcacao"": 30, ""velocidade"": 35, ""drible"": 35, ""finalizacao"": 30, ""fisico"": 48, ""tatico"": 31, ""mentalidade"": 25, ""confianca"": 25, ""fairPlay"": 25}",0,67,57,10,1000,United States,23,,genesis,Basic,"Unique style forged by skill, vision, and passion.",False,32,56,0,,genesis,1,False,Impulsive Charger
GEN-021,21,Juan Figueroa,CAM,profissional,mid_attacking,equilibrado,25,35,35,35,35,48,32,35,25,15,"{""passe"": 25, ""marcacao"": 35, ""velocidade"": 35, ""drible"": 35, ""finalizacao"": 35, ""fisico"": 48, ""tatico"": 32, ""mentalidade"": 35, ""confianca"": 25, ""fairPlay"": 15}",0,67,57,10,1000,Argentina,23,,genesis,Basic,Takes long shots when momentum drops — attempts to reset energy.,False,32,61,0,,genesis,1,False,Cold Strategist
GEN-022,22,Julio Camargo,CCM,profissional,mid_center,equilibrado,35,30,35,35,30,40,35,35,35,35,"{""passe"": 35, ""marcacao"": 30, ""velocidade"": 35, ""drible"": 35, ""finalizacao"": 30, ""fisico"": 40, ""tatico"": 35, ""mentalidade"": 35, ""confianca"": 35, ""fairPlay"": 35}",0,73,57,10,1000,Brazil,27,,genesis,Basic,Delivers long passes to break compact lines — vision-oriented decision-making.,False,34,63,0,,genesis,1,False,Legacy
GEN-023,23,Julio Camargo,CCM,profissional,mid_center,equilibrado,45,40,35,45,40,45,45,45,45,45,"{""passe"": 45, ""marcacao"": 40, ""velocidade"": 35, ""drible"": 45, ""finalizacao"": 40, ""fisico"": 45, ""tatico"": 45, ""mentalidade"": 45, ""confianca"": 45, ""fairPlay"": 45}",0,77,62,120,12000,Brazil,30,,genesis,Gold,Delivers long passes to break compact lines — vision-oriented decision-making.,False,43,62,0,,genesis,1,False,Legacy
GEN-024,24,Julio Camargo,CCM,lenda,mid_center,equilibrado,55,70,55,45,60,60,56,65,55,45,"{""passe"": 55, ""marcacao"": 70, ""velocidade"": 55, ""drible"": 45, ""finalizacao"": 60, ""fisico"": 60, ""tatico"": 56, ""mentalidade"": 65, ""confianca"": 55, ""fairPlay"": 45}",0,67,72,300,30000,Brazil,30,,genesis,Legend,Delivers long passes to break compact lines — vision-oriented decision-making.,False,57,72,0,,genesis,1,False,Legacy
GEN-025,25,Luca Preto,LB,profissional,defense_left,equilibrado,35,35,35,35,20,44,31,25,25,25,"{""passe"": 35, ""marcacao"": 35, ""velocidade"": 35, ""drible"": 35, ""finalizacao"": 20, ""fisico"": 44, ""tatico"": 31, ""mentalidade"": 25, ""confianca"": 25, ""fairPlay"": 25}",0,70,57,10,1000,Brazil,25,,genesis,Basic,"Skillful and unpredictable, you shine under pressure.",False,31,52,0,,genesis,1,False,Impulsive
GEN-026,26,Lyov Miroslav,GK,novo_talento,goal,equilibrado,35,35,35,15,20,40,25,25,20,15,"{""passe"": 35, ""marcacao"": 35, ""velocidade"": 35, ""drible"": 15, ""finalizacao"": 20, ""fisico"": 40, ""tatico"": 25, ""mentalidade"": 25, ""confianca"": 20, ""fairPlay"": 15}",0,68,57,20,2000,Russian,17,,genesis,Academy,Born to lead — snaps when a teammate is unfairly hit,False,26,72,0,,genesis,1,False,Cold Strategist
